cusip,par_traded,price,yield,maturity_date,settlement_date
338042BB9,50000.00,99.725,3.020,2035-01-15,2017-12-29
338042BB9,50000.00,98.000,3.152,2035-01-15,2017-12-29
4952896F2,20000.00,102.493,3.206,2036-01-01,2017-12-29
539563DT0,50000.00,103.455,2.000,2021-06-01,2017-12-29
1306852B5,100000.00,114.919,1.377,2026-04-01,2017-12-29
1306852B5,100000.00,113.319,1.738,2026-04-01,2017-12-29
63165N6D5,,105.224,1.956,2022-10-01,2017-12-29
833096JH4,25000.00,95.516,3.407,2031-12-01,2017-12-29
497604DX3,25000.00,99.705,3.390,2047-12-01,2017-12-29
04109FAQ1,25000.00,,3.100,2038-02-01,2017-12-29
095459BK8,355000.00,101.100,2.072,2027-02-01,2017-12-29
62476RAC9,85000.00,113.117,2.580,2056-11-15,2017-12-29
544587H68,25000.00,106.310,3.175,2036-11-01,2017-12-29
57582PU99,10000.00,110.952,2.077,2041-12-01,2017-12-29
57582PU99,10000.00,111.032,2.057,2041-12-01,2017-12-29
497604DX3,15000.00,99.705,3.390,2047-12-01,2017-12-29
158843XC1,75000.00,103.419,1.690,2019-07-01,2017-12-29
650014WZ2,25000.00,100.863,,2018-04-01,2018-01-03
649907AW2,250000.00,113.785,1.950,2026-10-01,2017-12-29
216181ER4,100000.00,103.080,1.580,2024-12-01,2018-01-03
20772G6K9,35000.00,102.921,1.790,2018-12-01,2017-12-29
776066PP1,50000.00,101.021,1.710,2018-06-15,2018-01-03
734064HN1,125000.00,101.160,1.710,2018-12-01,2018-01-03
13063DCT3,80000.00,100.899,1.451,2038-04-01,2017-12-29
45204EXR4,20000.00,121.431,2.220,2026-07-01,2017-12-29
341507R78,25000.00,118.432,1.967,2024-07-01,2017-12-29
650035LL0,100000.00,102.035,1.200,2022-01-01,2017-12-29
163100GJ3,20000.00,103.675,3.254,2028-12-01,2017-12-29
606094BZ2,40000.00,101.490,3.198,2034-12-01,2017-12-29
48503VAB8,15000.00,102.776,2.998,2041-10-01,2017-12-29
882723Z44,20000.00,123.832,1.970,2027-08-01,2017-12-29
646039VV6,95000.00,101.410,1.631,2018-06-01,2017-12-29
792909FE8,50000.00,99.000,3.209,2032-11-15,2017-12-29
67884E6B0,10000.00,104.606,2.283,2040-06-01,2017-12-29
717817TL4,30000.00,98.999,3.197,2036-07-01,2017-12-29
677520L89,100000.00,105.279,1.620,2019-08-01,2017-12-29
45204EXR4,20000.00,121.431,2.221,2026-07-01,2017-12-29
566823SV3,18200000.00,100.000,,2037-03-15,2018-01-04
45203LAQ6,19000000.00,100.000,,2041-01-01,2018-01-04
464416GV2,150000.00,105.580,1.640,2022-12-01,2017-12-29
59333FGQ7,125000.00,102.148,1.420,2021-07-01,2017-12-29
49474FKJ8,15000.00,105.479,3.123,2038-07-01,2017-12-29
676125GC5,65000.00,103.140,2.045,2021-06-01,2017-12-29
676125GC5,65000.00,103.040,2.074,2021-06-01,2017-12-29
676125GC5,65000.00,103.140,2.045,2021-06-01,2017-12-29
